# Anno 1800 Building Reference Guide

This document contains a comprehensive list of buildings, production chains, and infrastructure for Anno 1800.

## ℹ️ Legend & Notes

### 1\. Street Distance (Public Services)

Public service buildings (Marketplaces, Churches, etc.) do not have a hard "on/off" radius. They rely on **Street Distance** (tiles traveled along a road).

- **Dark Green (Full Coverage):** Residents get **100%** need satisfaction.
- **Light Green (Partial/Max Range):** Satisfaction drops linearly from 100% to 0% the further you go.
- **Paved Streets:** Extend the effective range by **~50%**.

### 2\. Module Placement Rules

- **Fields (Crops):** Must be **Contiguous**. They must physically touch the main building or another attached field.
- **Pastures (Animals):** Placed within a **7-tile radius** (ModuleBuildRadius) around the main building. They do not strictly need to touch the main building.
- **Radius (Density):** Buildings like Lumberjacks scan a circular area (e.g., 7 tiles) for natural resources (trees).
- **Hacienda Radius:** Hacienda buildings must be placed within the Hacienda's circle (Max **75 tiles**).

### 3\. Production Notation

- **1t / 30s:** Produces 1 ton of goods every 30 seconds.
- **1x1:** Represents a standard single-tile field module.

## 1\. The Old World

The primary region where your empire begins.

### Farmers (Tier 1)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
### Investors (Tier 5)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Investor Res.** | 3x3 | Residence | Houses Investors. | \-  | \-  | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Vineyard** | 3x4 | Production | 1t / 120s | \-  | 10 Farmers | 128x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Champagne Cel.** | 5x6 | Production | 1t / 30s | 1 Glass, 1 Grapes | 150 Artisans | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Gold Mine** | 4x4 | Production | 1t / 150s | \-  | 100 Workers | Deposit | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Goldsmiths** | 4x4 | Production | 1t / 60s | 1 GoldOre, 1 Coal | 100 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Jewellers** | 4x4 | Production | 1t / 60s | 1 Gold, 1 Pearl | 100 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Gramophone Fac.** | 5x5 | Production | 1t / 60s | 1 Wood, 1 Brass | 100 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Coachmakers** | 6x8 | Production | 1t / 120s | 1 Motor, 1 Wood | 250 Engineers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Members Club** | 10x10 | Public Service | Provides "Club". | \-  | \-  | \-  | Street: ~96 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **World's Fair** | 18x22 | Monument | Cultural Events. | Goods | Investors | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |

### Infrastructure & Optimization

| **Building** | **Size** | **Type** | **Function** | **Service/Density Range** |
| --- | --- | --- | --- | --- |
| **Small Warehouse** | 5x5 | Logistics | 2 Loading Ramps. | \-  |
| --- | --- | --- | --- | --- |
| **Medium Warehouse** | 5x5 | Logistics | 3 Loading Ramps. | \-  |
| --- | --- | --- | --- | --- |
| **Large Warehouse** | 5x5 | Logistics | 4 Loading Ramps. | \-  |
| --- | --- | --- | --- | --- |
| **Trade Union** | 4x4 | Boost | Production slots. | Radius: 15 tiles |
| --- | --- | --- | --- | --- |
| **Town Hall** | 4x4 | Boost | Residence slots. | Radius: 20 tiles |
| --- | --- | --- | --- | --- |
| **Harbourmaster** | 4x4 | Boost | Harbour slots. | Radius: 18 tiles |
| --- | --- | --- | --- | --- |
| **Mounted Guns** | 4x4 | Defence | Harbour defence. | Medium |
| --- | --- | --- | --- | --- |
| **Cannon Tower** | 4x4 | Defence | Long range defence. | Long |
| --- | --- | --- | --- | --- |
| **Repair Crane** | 4x4 | Defence | Repairs ships. | Radius |
| --- | --- | --- | --- | --- |
| **Electricity Plant** | 5x5 | Power | Electricity. | Street: ~40 tiles |
| --- | --- | --- | --- | --- |

## 2\. The New World

### Jornaleros (Tier 1)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Marketplace** | 5x6 | Public Service | "Marketplace". | \-  | \-  | \-  | Street: ~48 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Jornalero Res.** | 3x3 | Residence | Houses Jornaleros. | \-  | \-  | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Plantain Plant.** | 3x4 | Production | 1t / 30s | \-  | 10 Jornaleros | 128x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Fried Plantain** | 4x4 | Production | 1t / 30s | 1 Plantain, 1 Oil | 10 Jornaleros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Fish Oil Factory** | 5x5 | Production | 1t / 30s | \-  | 10 Jornaleros | Coast | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sugar Cane Plt.** | 3x4 | Production | 1t / 30s | \-  | 10 Jornaleros | 128x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Rum Distillery** | 4x5 | Production | 1t / 30s | 1 Cane, 1 Wood | 10 Jornaleros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Alpaca Farm** | 4x4 | Production | 1t / 30s | \-  | 10 Jornaleros | 4x (4x3) Pastures | Placement Radius: 7 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Poncho Darner** | 4x4 | Production | 1t / 30s | 1 Alpaca Wool | 10 Jornaleros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Cotton Plant.** | 4x4 | Production | 1t / 60s | \-  | 10 Jornaleros | 144x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Cotton Mill** | 4x4 | Production | 1t / 30s | 1 Cotton | 10 Jornaleros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Chapel** | 4x6 | Public Service | "Chapel". | \-  | \-  | \-  | Street: ~48 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |

### Obreros (Tier 2)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Obrero Res.** | 3x3 | Residence | Houses Obreros. | \-  | \-  | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Corn Farm** | 3x4 | Production | 1t / 60s | \-  | 10 Jornaleros | 128x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Tortilla Maker** | 4x5 | Production | 1t / 60s | 1 Corn, 1 Beef | 15 Obreros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Coffee Plant.** | 3x4 | Production | 1t / 60s | \-  | 10 Jornaleros | 168x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Coffee Roaster** | 4x5 | Production | 1t / 60s | 1 Coffee Bean | 15 Obreros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Felt Producer** | 4x4 | Production | 1t / 30s | 1 Alpaca Wool | 15 Obreros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Bowler Hat Mkr.** | 4x4 | Production | 1t / 60s | 1 Felt, 1 Cotton | 75 Obreros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Tobacco Plant.** | 3x4 | Production | 1t / 120s | \-  | 10 Jornaleros | 192x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Cigar Factory** | 5x5 | Production | 1t / 60s | 1 Tobacco, 1 Veneer | 150 Obreros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Cocoa Plant.** | 3x4 | Production | 1t / 120s | \-  | 10 Jornaleros | 128x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Chocolate Fac.** | 5x5 | Production | 1t / 60s | 1 Cocoa, 1 Sugar | 75 Obreros | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Pearl Farm** | 6x14 | Production | 1t / 90s | \-  | 50 Jornaleros | Coast | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Boxing Arena** | 9x9 | Public Service | "Boxing Arena". | \-  | \-  | \-  | Street: ~72 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |

## 3\. The Arctic (The Passage DLC)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Heater** | 3x4 | Infrastructure | Provides Heat. | 1 Coal | \-  | \-  | Radius: 15-45 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Whaling Station** | 6x17 | Production | 1t / 60s | \-  | 25 Explorers | Coast | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Caribou Hunting** | 5x5 | Production | 1t / 60s | \-  | 10 Explorers | \-  | Radius: 9 tiles |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Pemmican Cook.** | 4x5 | Production | 1t / 60s | 1 WhaleOil, 1 Meat | 25 Explorers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sleeping Bag** | 4x4 | Production | 1t / 60s | 1 SealSkin, 1 Feather | 50 Explorers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Oil Lamp Fac.** | 4x4 | Production | 1t / 60s | 1 WhaleOil, 1 Brass | 50 Explorers | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Parka Factory** | 4x5 | Production | 1t / 60s | 1 SealSkin, 1 Bear | 100 Technicians | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Husky Sled Fac.** | 5x6 | Production | 1t / 60s | 1 Husky, 1 Sled | 100 Technicians | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |

## 4\. Enbesa (Land of Lions DLC)

| **Building** | **Size** | **Type** | **Function / Production** | **Inputs** | **Workforce** | **Modules** | **Service/Density Range** |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Sangha Cow Farm** | 4x5 | Production | Milk/Beef. | \-  | 10 Shepherds | 4x (4x4) Pastures | Placement Radius: 7 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Goat Farm** | 3x4 | Production | Goat Milk. | \-  | 10 Shepherds | 3x (3x4) Pastures | Placement Radius: 7 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Dried Meat Fac.** | 4x4 | Production | 1t / 60s | 1 Beef, 1 Salt | 10 Shepherds | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Finery** | 4x4 | Production | 1t / 60s | 1 Linen, 1 Cotton | 25 Shepherds | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Hibiscus Farm** | 4x4 | Production | 1t / 60s | \-  | 15 Shepherds | 128x (1x1) Fields | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Tea Spice Blend** | 3x4 | Production | 1t / 30s | 1 Hibiscus | 25 Shepherds | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Mud Brick Fac.** | 4x4 | Production | 1t / 60s | 1 Mud, 1 Straw | 15 Elders | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Tapestry Loom** | 5x5 | Production | 1t / 60s | 1 Linen, 1 Indigo | 25 Elders | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Ceramics Wkshp** | 4x4 | Production | 1t / 60s | 1 Mud, 1 Coal | 25 Elders | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Illuminated Scr.** | 4x4 | Production | 1t / 120s | 1 Paper, 1 Indigo | 50 Elders | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| **Lanternmaker** | 4x4 | Production | 1t / 60s | 1 Glass, 1 Candle | 50 Elders | \-  | \-  |
| --- | --- | --- | --- | --- | --- | --- | --- |
